semantic,subtype,direction,boundary,checks_total,checks_valid,prompt_seed_total,success_rate,paired_delta,baseline_correct_checks,retention,count_target_mae
count,all,suffix,5,50,50,50,0.52,-0.04,28,0.8928571428571429,1.08
count,all,suffix,6,50,50,50,0.58,0.02,28,0.9642857142857143,1.1
count,all,suffix,7,50,50,50,0.58,0.02,28,0.9642857142857143,0.9
count,all,suffix,8,50,50,50,0.56,0.0,28,0.9642857142857143,0.92
count,all,suffix,9,50,50,50,0.56,0.0,28,0.9642857142857143,1.0
count,all,suffix,10,50,50,50,0.56,0.0,28,0.9642857142857143,0.9
count,all,suffix,11,50,50,50,0.6,0.04,28,1.0,0.88
count,all,suffix,12,50,50,50,0.54,-0.02,28,0.9642857142857143,0.94
count,all,suffix,13,50,50,50,0.56,0.0,28,1.0,0.96
count,single_category,prefix,0,50,50,50,0.56,0.0,28,1.0,0.96
count,single_category,prefix,1,50,50,50,0.56,0.0,28,0.8928571428571429,1.1
count,single_category,prefix,2,50,50,50,0.62,0.06,28,0.9285714285714286,0.96
count,single_category,prefix,3,50,50,50,0.56,0.0,28,0.8214285714285714,1.02
count,single_category,prefix,4,50,50,50,0.36,-0.2,28,0.5357142857142857,1.14
count,single_category,prefix,5,50,50,50,0.26,-0.3,28,0.35714285714285715,1.36
count,single_category,prefix,6,50,50,50,0.28,-0.28,28,0.32142857142857145,1.26
count,single_category,prefix,7,50,50,50,0.22,-0.34,28,0.2857142857142857,1.34
count,single_category,prefix,8,50,50,50,0.2,-0.36,28,0.2857142857142857,1.38
count,single_category,prefix,9,50,50,50,0.18,-0.38,28,0.2857142857142857,1.42
count,single_category,prefix,10,50,50,50,0.22,-0.34,28,0.2857142857142857,1.38
count,single_category,prefix,11,50,50,50,0.18,-0.38,28,0.2857142857142857,1.46
count,single_category,prefix,12,50,50,50,0.2,-0.36,28,0.2857142857142857,1.42
count,single_category,prefix,13,50,50,50,0.18,-0.38,28,0.2857142857142857,1.4
count,single_category,suffix,0,50,50,50,0.18,-0.38,28,0.2857142857142857,1.4
count,single_category,suffix,1,50,50,50,0.28,-0.28,28,0.39285714285714285,1.36
count,single_category,suffix,2,50,50,50,0.26,-0.3,28,0.39285714285714285,1.56
count,single_category,suffix,3,50,50,50,0.3,-0.26,28,0.4642857142857143,1.1
count,single_category,suffix,4,50,50,50,0.5,-0.06,28,0.8571428571428571,1.14
count,single_category,suffix,5,50,50,50,0.52,-0.04,28,0.8928571428571429,1.08
count,single_category,suffix,6,50,50,50,0.58,0.02,28,0.9642857142857143,1.1
count,single_category,suffix,7,50,50,50,0.58,0.02,28,0.9642857142857143,0.9
count,single_category,suffix,8,50,50,50,0.56,0.0,28,0.9642857142857143,0.92
count,single_category,suffix,9,50,50,50,0.56,0.0,28,0.9642857142857143,1.0
count,single_category,suffix,10,50,50,50,0.56,0.0,28,0.9642857142857143,0.9
count,single_category,suffix,11,50,50,50,0.6,0.04,28,1.0,0.88
count,single_category,suffix,12,50,50,50,0.54,-0.02,28,0.9642857142857143,0.94
count,single_category,suffix,13,50,50,50,0.56,0.0,28,1.0,0.96
object,all,prefix,0,50,50,50,0.96,0.0,48,1.0,
object,all,prefix,1,50,50,50,0.96,0.0,48,0.9791666666666666,
object,all,prefix,2,50,50,50,0.96,0.0,48,0.9791666666666666,
object,all,prefix,3,50,50,50,0.78,-0.18,48,0.7708333333333334,
object,all,prefix,4,50,50,50,0.56,-0.4,48,0.5833333333333334,
object,all,prefix,5,50,50,50,0.48,-0.48,48,0.5,
object,all,prefix,6,50,50,50,0.44,-0.52,48,0.4583333333333333,
object,all,prefix,7,50,50,50,0.48,-0.48,48,0.5,
object,all,prefix,8,50,50,50,0.4,-0.56,48,0.4166666666666667,
object,all,prefix,9,50,50,50,0.42,-0.54,48,0.4375,
object,all,prefix,10,50,50,50,0.38,-0.58,48,0.3958333333333333,
object,all,prefix,11,50,50,50,0.38,-0.58,48,0.3958333333333333,
object,all,prefix,12,50,50,50,0.38,-0.58,48,0.3958333333333333,
object,all,prefix,13,50,50,50,0.38,-0.58,48,0.3958333333333333,
object,all,suffix,0,50,50,50,0.38,-0.58,48,0.3958333333333333,
object,all,suffix,1,50,50,50,0.4,-0.56,48,0.4166666666666667,
object,all,suffix,2,50,50,50,0.5,-0.46,48,0.5,
object,all,suffix,3,50,50,50,0.64,-0.32,48,0.6666666666666666,
object,all,suffix,4,50,50,50,0.9,-0.06,48,0.9375,
object,all,suffix,5,50,50,50,0.94,-0.02,48,0.9791666666666666,
object,all,suffix,6,50,50,50,0.96,0.0,48,1.0,
object,all,suffix,7,50,50,50,0.96,0.0,48,1.0,
object,all,suffix,8,50,50,50,0.96,0.0,48,1.0,
object,all,suffix,9,50,50,50,0.96,0.0,48,1.0,
object,all,suffix,10,50,50,50,0.96,0.0,48,1.0,
object,all,suffix,11,50,50,50,0.96,0.0,48,1.0,
object,all,suffix,12,50,50,50,0.96,0.0,48,1.0,
object,all,suffix,13,50,50,50,0.96,0.0,48,1.0,
object,identity,prefix,0,50,50,50,0.96,0.0,48,1.0,
object,identity,prefix,1,50,50,50,0.96,0.0,48,0.9791666666666666,
object,identity,prefix,2,50,50,50,0.96,0.0,48,0.9791666666666666,
object,identity,prefix,3,50,50,50,0.78,-0.18,48,0.7708333333333334,
object,identity,prefix,4,50,50,50,0.56,-0.4,48,0.5833333333333334,
object,identity,prefix,5,50,50,50,0.48,-0.48,48,0.5,
object,identity,prefix,6,50,50,50,0.44,-0.52,48,0.4583333333333333,
object,identity,prefix,7,50,50,50,0.48,-0.48,48,0.5,
object,identity,prefix,8,50,50,50,0.4,-0.56,48,0.4166666666666667,
object,identity,prefix,9,50,50,50,0.42,-0.54,48,0.4375,
object,identity,prefix,10,50,50,50,0.38,-0.58,48,0.3958333333333333,
object,identity,prefix,11,50,50,50,0.38,-0.58,48,0.3958333333333333,
object,identity,prefix,12,50,50,50,0.38,-0.58,48,0.3958333333333333,
object,identity,prefix,13,50,50,50,0.38,-0.58,48,0.3958333333333333,
object,identity,suffix,0,50,50,50,0.38,-0.58,48,0.3958333333333333,
object,identity,suffix,1,50,50,50,0.4,-0.56,48,0.4166666666666667,
object,identity,suffix,2,50,50,50,0.5,-0.46,48,0.5,
object,identity,suffix,3,50,50,50,0.64,-0.32,48,0.6666666666666666,
object,identity,suffix,4,50,50,50,0.9,-0.06,48,0.9375,
object,identity,suffix,5,50,50,50,0.94,-0.02,48,0.9791666666666666,
object,identity,suffix,6,50,50,50,0.96,0.0,48,1.0,
object,identity,suffix,7,50,50,50,0.96,0.0,48,1.0,
object,identity,suffix,8,50,50,50,0.96,0.0,48,1.0,
object,identity,suffix,9,50,50,50,0.96,0.0,48,1.0,
object,identity,suffix,10,50,50,50,0.96,0.0,48,1.0,
object,identity,suffix,11,50,50,50,0.96,0.0,48,1.0,
object,identity,suffix,12,50,50,50,0.96,0.0,48,1.0,
object,identity,suffix,13,50,50,50,0.96,0.0,48,1.0,
shape,all,prefix,0,50,50,50,0.58,0.0,29,1.0,
shape,all,prefix,1,50,50,50,0.58,0.0,29,0.8275862068965517,
shape,all,prefix,2,50,50,50,0.56,-0.02,29,0.896551724137931,
shape,all,prefix,3,50,50,50,0.4,-0.18,29,0.6551724137931034,
shape,all,prefix,4,50,50,50,0.32,-0.26,29,0.5172413793103449,
shape,all,prefix,5,50,50,50,0.22,-0.36,29,0.3793103448275862,
shape,all,prefix,6,50,50,50,0.22,-0.36,29,0.3448275862068966,
shape,all,prefix,7,50,50,50,0.22,-0.36,29,0.3448275862068966,
shape,all,prefix,8,50,50,50,0.2,-0.38,29,0.3103448275862069,
shape,all,prefix,9,50,50,50,0.22,-0.36,29,0.3448275862068966,
shape,all,prefix,10,50,50,50,0.22,-0.36,29,0.3448275862068966,
shape,all,prefix,11,50,50,50,0.22,-0.36,29,0.3448275862068966,
shape,all,prefix,12,50,50,50,0.22,-0.36,29,0.3448275862068966,
shape,all,prefix,13,50,50,50,0.22,-0.36,29,0.3448275862068966,
shape,all,suffix,0,50,50,50,0.22,-0.36,29,0.3448275862068966,
shape,all,suffix,1,50,50,50,0.26,-0.32,29,0.3793103448275862,
shape,all,suffix,2,50,50,50,0.24,-0.34,29,0.41379310344827586,
shape,all,suffix,3,50,50,50,0.3,-0.28,29,0.5172413793103449,
shape,all,suffix,4,50,50,50,0.48,-0.1,29,0.8275862068965517,
shape,all,suffix,5,50,50,50,0.58,0.0,29,1.0,
shape,all,suffix,6,50,50,50,0.58,0.0,29,1.0,
shape,all,suffix,7,50,50,50,0.6,0.02,29,0.9655172413793104,
shape,all,suffix,8,50,50,50,0.56,-0.02,29,0.9310344827586207,
shape,all,suffix,9,50,50,50,0.58,0.0,29,1.0,
shape,all,suffix,10,50,50,50,0.56,-0.02,29,0.9655172413793104,
shape,all,suffix,11,50,50,50,0.56,-0.02,29,0.9655172413793104,
shape,all,suffix,12,50,50,50,0.58,0.0,29,1.0,
shape,all,suffix,13,50,50,50,0.58,0.0,29,1.0,
shape,outline,prefix,0,50,50,50,0.58,0.0,29,1.0,
shape,outline,prefix,1,50,50,50,0.58,0.0,29,0.8275862068965517,
shape,outline,prefix,2,50,50,50,0.56,-0.02,29,0.896551724137931,
shape,outline,prefix,3,50,50,50,0.4,-0.18,29,0.6551724137931034,
shape,outline,prefix,4,50,50,50,0.32,-0.26,29,0.5172413793103449,
shape,outline,prefix,5,50,50,50,0.22,-0.36,29,0.3793103448275862,
shape,outline,prefix,6,50,50,50,0.22,-0.36,29,0.3448275862068966,
shape,outline,prefix,7,50,50,50,0.22,-0.36,29,0.3448275862068966,
shape,outline,prefix,8,50,50,50,0.2,-0.38,29,0.3103448275862069,
shape,outline,prefix,9,50,50,50,0.22,-0.36,29,0.3448275862068966,
shape,outline,prefix,10,50,50,50,0.22,-0.36,29,0.3448275862068966,
shape,outline,prefix,11,50,50,50,0.22,-0.36,29,0.3448275862068966,
shape,outline,prefix,12,50,50,50,0.22,-0.36,29,0.3448275862068966,
shape,outline,prefix,13,50,50,50,0.22,-0.36,29,0.3448275862068966,
shape,outline,suffix,0,50,50,50,0.22,-0.36,29,0.3448275862068966,
shape,outline,suffix,1,50,50,50,0.26,-0.32,29,0.3793103448275862,
shape,outline,suffix,2,50,50,50,0.24,-0.34,29,0.41379310344827586,
shape,outline,suffix,3,50,50,50,0.3,-0.28,29,0.5172413793103449,
shape,outline,suffix,4,50,50,50,0.48,-0.1,29,0.8275862068965517,
shape,outline,suffix,5,50,50,50,0.58,0.0,29,1.0,
shape,outline,suffix,6,50,50,50,0.58,0.0,29,1.0,
shape,outline,suffix,7,50,50,50,0.6,0.02,29,0.9655172413793104,
shape,outline,suffix,8,50,50,50,0.56,-0.02,29,0.9310344827586207,
shape,outline,suffix,9,50,50,50,0.58,0.0,29,1.0,
shape,outline,suffix,10,50,50,50,0.56,-0.02,29,0.9655172413793104,
shape,outline,suffix,11,50,50,50,0.56,-0.02,29,0.9655172413793104,
shape,outline,suffix,12,50,50,50,0.58,0.0,29,1.0,
shape,outline,suffix,13,50,50,50,0.58,0.0,29,1.0,
spatial_relation,above_below,prefix,0,10,10,10,0.2,0.0,2,1.0,
spatial_relation,above_below,prefix,1,10,10,10,0.3,0.1,2,1.0,
spatial_relation,above_below,prefix,2,10,10,10,0.1,-0.1,2,0.5,
spatial_relation,above_below,prefix,3,10,10,10,0.2,0.0,2,0.5,
spatial_relation,above_below,prefix,4,10,10,10,0.1,-0.1,2,0.5,
spatial_relation,above_below,prefix,5,10,10,10,0.1,-0.1,2,0.5,
spatial_relation,above_below,prefix,6,10,10,10,0.1,-0.1,2,0.5,
spatial_relation,above_below,prefix,7,10,10,10,0.1,-0.1,2,0.5,
spatial_relation,above_below,prefix,8,10,10,10,0.1,-0.1,2,0.5,
spatial_relation,above_below,prefix,9,10,10,10,0.1,-0.1,2,0.5,
